id,role,name,photo_url,note
1,Pedda Kapu,M.Ramanaiah,images/pedda.jpg,Aqua Former
2,Middle Kapu,M. Prabhakar,images/middle.jpg,Aqua Former
3,Chinna Kapu,B. Murali ,images/chinna.jpg,Aqua Former ,Youth Leader
